Tax	TotalReads	MeanDamage	AIS1_reads	AIS1_damage	BV1_reads	BV1_damage	BV2_reads	BV2_damage	BV3_reads	BV3_damage	EM1_reads	EM1_damage	EM2_reads	EM2_damage	EM3_reads	EM3_damage	EM4_reads	EM4_damage	LG1_reads	LG1_damage	LG2_reads	LG2_damage	LG3_reads	LG3_damage	LG4_reads	LG4_damage	LG5_reads	LG5_damage	LG6_reads	LG6_damage	LG7_reads	LG7_damage	MA1_reads	MA1_damage	MA2_reads	MA2_damage	MBL1_reads	MBL1_damage	MBL2_reads	MBL2_damage	MV1_reads	MV1_damage	MV2_reads	MV2_damage	NC1_reads	NC1_damage	NC2_reads	NC2_damage	NC3_reads	NC3_damage	NC4_reads	NC4_damage	NC5_reads	NC5_damage	PC1_reads	PC1_damage	PM1_reads	PM1_damage	PM2_reads	PM2_damage	RM1_reads	RM1_damage	RM2_reads	RM2_damage	TaxPath
352279:s__Levyella massiliensis:species	64	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	30	0.0	5	0.0	7	0.0	0	NA	0	NA	0	NA	1	0.0	2	0.0	2	0.0	1	0.0	4	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	3	0.0	1	0.0	3	0.0	1	0.0	0	NA	0	NA	3	0.0	"352279:s__Levyella massiliensis:species;352278:g__Levyella:genus;256048:f__Peptoniphilaceae:family;256047:o__Tissierellales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
352278:g__Levyella:genus	64	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	30	0.0	5	0.0	7	0.0	0	NA	0	NA	0	NA	1	0.0	2	0.0	2	0.0	1	0.0	4	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	3	0.0	1	0.0	3	0.0	1	0.0	0	NA	0	NA	3	0.0	"352278:g__Levyella:genus;256048:f__Peptoniphilaceae:family;256047:o__Tissierellales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
266298:RS_GCF_021602155.1:subspecies	64	0.03	0	NA	0	NA	0	NA	0	NA	0	NA	2	0.0	3	0.0	21	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	19	0.1	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	16	0.0	"266298:RS_GCF_021602155.1:subspecies;266292:s__Pseudomonas_E parakoreensis:species;154229:g__Pseudomonas_E:genus;108194:f__Pseudomonadaceae:family;108193:o__Pseudomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
266292:s__Pseudomonas_E parakoreensis:species	64	0.03	0	NA	0	NA	0	NA	0	NA	0	NA	2	0.0	3	0.0	21	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	19	0.1	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	16	0.0	"266292:s__Pseudomonas_E parakoreensis:species;154229:g__Pseudomonas_E:genus;108194:f__Pseudomonadaceae:family;108193:o__Pseudomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
318005:g__RFTU01:genus	64	0.097	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	2	0.0	1	0.0	2	1.0	2	0.0	0	NA	0	NA	1	0.0	4	0.0	6	0.3333	0	NA	0	NA	2	0.0	4	0.0	2	0.0	9	0.0	0	NA	0	NA	0	NA	1	0.0	1	0.0	0	NA	2	0.0	0	NA	4	0.0	20	0.1111	"318005:g__RFTU01:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
491891:GB_GCA_903842455.1:subspecies	64	0.04	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	3	0.0	0	NA	1	0.0	0	NA	0	NA	1	0.0	0	NA	0	NA	1	0.0	0	NA	12	0.0	44	0.0588	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	"491891:GB_GCA_903842455.1:subspecies;491890:s__Devosia_A sp903842455:species;322032:g__Devosia_A:genus;303137:f__Devosiaceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
491890:s__Devosia_A sp903842455:species	64	0.04	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	3	0.0	0	NA	1	0.0	0	NA	0	NA	1	0.0	0	NA	0	NA	1	0.0	0	NA	12	0.0	44	0.0588	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	"491890:s__Devosia_A sp903842455:species;322032:g__Devosia_A:genus;303137:f__Devosiaceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
282594:RS_GCF_010731115.1:subspecies	64	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	29	0.0	2	0.0	0	NA	1	0.0	5	0.0	0	NA	1	0.0	1	0.0	2	0.0	2	0.0	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	2	0.0	3	0.0	4	0.0	2	0.0	0	NA	0	NA	2	0.0	7	0.0	"282594:RS_GCF_010731115.1:subspecies;282590:s__Mycobacterium phocaicum:species;101059:g__Mycobacterium:genus;101058:f__Mycobacteriaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
282590:s__Mycobacterium phocaicum:species	64	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	29	0.0	2	0.0	0	NA	1	0.0	5	0.0	0	NA	1	0.0	1	0.0	2	0.0	2	0.0	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	2	0.0	3	0.0	4	0.0	2	0.0	0	NA	0	NA	2	0.0	7	0.0	"282590:s__Mycobacterium phocaicum:species;101059:g__Mycobacterium:genus;101058:f__Mycobacteriaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
323073:RS_GCF_000173915.1:subspecies	64	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	9	0.0	35	0.0	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	2	0.0	0	NA	0	NA	0	NA	16	0.0	"323073:RS_GCF_000173915.1:subspecies;323071:s__Gemella haemolysans:species;289715:g__Gemella:genus;289714:f__Gemellaceae:family;63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
323071:s__Gemella haemolysans:species	64	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	9	0.0	35	0.0	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	2	0.0	0	NA	0	NA	0	NA	16	0.0	"323071:s__Gemella haemolysans:species;289715:g__Gemella:genus;289714:f__Gemellaceae:family;63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
377955:GB_GCA_903856025.1:subspecies	64	0.052	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	3	0.0	2	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	6	0.0	1	0.0	1	0.0	0	NA	1	0.0	1	0.0	1	0.0	3	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	5	0.0	40	0.0833	"377955:GB_GCA_903856025.1:subspecies;377953:s__Rhodoferax sp903856025:species;247200:g__Rhodoferax:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
377953:s__Rhodoferax sp903856025:species	64	0.052	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	3	0.0	2	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	6	0.0	1	0.0	1	0.0	0	NA	1	0.0	1	0.0	1	0.0	3	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	5	0.0	40	0.0833	"377953:s__Rhodoferax sp903856025:species;247200:g__Rhodoferax:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
318538:GB_GCA_003489395.1:subspecies	64	0.078	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	2	1.0	12	0.0	0	NA	0	NA	1	0.0	1	0.0	0	NA	0	NA	1	0.0	0	NA	3	0.0	1	0.0	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	12	0.25	30	0.0	"318538:GB_GCA_003489395.1:subspecies;318537:s__UBA1550 sp003489395:species;304436:g__UBA1550:genus;304435:f__UBA1539_A:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
318537:s__UBA1550 sp003489395:species	64	0.078	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	2	1.0	12	0.0	0	NA	0	NA	1	0.0	1	0.0	0	NA	0	NA	1	0.0	0	NA	3	0.0	1	0.0	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	12	0.25	30	0.0	"318537:s__UBA1550 sp003489395:species;304436:g__UBA1550:genus;304435:f__UBA1539_A:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
271652:GB_GCA_903838565.1:subspecies	64	0.034	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	2	0.0	3	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	7	0.0	1	0.0	0	NA	0	NA	2	0.0	4	0.0	0	NA	6	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	4	0.0	35	0.0625	"271652:GB_GCA_903838565.1:subspecies;271644:s__CAIKVZ01 sp903838565:species;271643:g__CAIKVZ01:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
271644:s__CAIKVZ01 sp903838565:species	64	0.034	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	2	0.0	3	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	7	0.0	1	0.0	0	NA	0	NA	2	0.0	4	0.0	0	NA	6	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	4	0.0	35	0.0625	"271644:s__CAIKVZ01 sp903838565:species;271643:g__CAIKVZ01:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
515501:GB_GCA_003224725.1:subspecies	64	0.095	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	11	0.2	8	0.0	12	0.0	31	0.125	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	"515501:GB_GCA_003224725.1:subspecies;515500:s__QHZQ01 sp003224725:species;455014:g__QHZQ01:genus;362094:f__VXMN01:family;362093:o__VXMN01:order;251792:c__Terriglobia:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
515500:s__QHZQ01 sp003224725:species	64	0.095	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	11	0.2	8	0.0	12	0.0	31	0.125	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	"515500:s__QHZQ01 sp003224725:species;455014:g__QHZQ01:genus;362094:f__VXMN01:family;362093:o__VXMN01:order;251792:c__Terriglobia:class;232780:p__Acidobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
408771:GB_GCA_016795145.1:subspecies	64	0.016	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	6	0.0	16	0.0	35	0.0	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	3	0.0	1	1.0	"408771:GB_GCA_016795145.1:subspecies;408770:s__SXXK01 sp016795145:species;294342:g__SXXK01:genus;287247:f__Planctomycetaceae:family;287246:o__Planctomycetales:order;260319:c__Planctomycetia:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
408770:s__SXXK01 sp016795145:species	64	0.016	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	1	0.0	6	0.0	16	0.0	35	0.0	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	3	0.0	1	1.0	"408770:s__SXXK01 sp016795145:species;294342:g__SXXK01:genus;287247:f__Planctomycetaceae:family;287246:o__Planctomycetales:order;260319:c__Planctomycetia:class;260318:p__Planctomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
