Tax	TotalReads	MeanDamage	AIS1_reads	AIS1_damage	BV1_reads	BV1_damage	BV2_reads	BV2_damage	BV3_reads	BV3_damage	EM1_reads	EM1_damage	EM2_reads	EM2_damage	EM3_reads	EM3_damage	EM4_reads	EM4_damage	LG1_reads	LG1_damage	LG2_reads	LG2_damage	LG3_reads	LG3_damage	LG4_reads	LG4_damage	LG5_reads	LG5_damage	LG6_reads	LG6_damage	LG7_reads	LG7_damage	MA1_reads	MA1_damage	MA2_reads	MA2_damage	MBL1_reads	MBL1_damage	MBL2_reads	MBL2_damage	MV1_reads	MV1_damage	MV2_reads	MV2_damage	NC1_reads	NC1_damage	NC2_reads	NC2_damage	NC3_reads	NC3_damage	NC4_reads	NC4_damage	NC5_reads	NC5_damage	PC1_reads	PC1_damage	PM1_reads	PM1_damage	PM2_reads	PM2_damage	RM1_reads	RM1_damage	RM2_reads	RM2_damage	TaxPath
101055:p__Actinomycetota:phylum	1297056	0.034	1354	0.0117	17650	0.0439	12981	0.1644	226664	0.0629	476	0.0105	2698	0.0106	9145	0.0144	14345	0.0319	44754	0.0288	92282	0.0334	10001	0.0613	6950	0.0665	12247	0.0693	62627	0.032	73732	0.0343	6208	0.0849	3478	0.0794	72308	0.0487	309780	0.018	9344	0.0245	23574	0.031	439	0.0058	17	0.0	10777	0.0081	103490	0.0086	21463	0.0093	110505	0.0165	5099	0.1409	1124	0.005	3638	0.0537	27906	0.0369	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14525:p__Pseudomonadota:phylum	667216	0.043	4487	0.0188	4753	0.0101	840	0.0639	9064	0.1034	1067	0.0352	3698	0.0309	7809	0.0713	21938	0.0444	8257	0.0919	19157	0.0399	2383	0.0818	2077	0.0365	6117	0.0795	32560	0.0304	90761	0.0293	4611	0.0402	1896	0.033	29125	0.0835	28989	0.0838	31115	0.0316	75768	0.0392	1830	0.0103	113	0.0276	15397	0.0116	35248	0.0123	34555	0.0113	7667	0.0121	2372	0.1204	737	0.0039	20084	0.0562	162741	0.0501	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056:c__Actinomycetia:class	665597	0.03	1167	0.0073	17304	0.0434	9895	0.1917	117329	0.0609	430	0.0	2523	0.0103	8677	0.012	12599	0.0241	11640	0.0258	45104	0.0281	622	0.0287	955	0.021	1546	0.0304	51315	0.0222	65958	0.0332	1677	0.0163	525	0.0481	15212	0.0327	80762	0.0163	1613	0.0284	5321	0.0414	429	0.0059	17	0.0	10675	0.0081	103186	0.0086	21218	0.009	50821	0.0145	301	0.0282	1105	0.0051	2570	0.054	23101	0.0338	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526:c__Gammaproteobacteria:class	459799	0.048	2444	0.0187	3842	0.0094	428	0.0649	4504	0.1355	713	0.0431	1720	0.0462	5826	0.0911	16944	0.0519	2660	0.0433	7404	0.0555	1795	0.0953	1544	0.045	2597	0.0393	20305	0.0314	78125	0.0274	3265	0.0363	1225	0.0416	21683	0.1014	24163	0.0891	19220	0.0354	39260	0.0447	604	0.0141	95	0.0353	7021	0.0119	16596	0.0151	17411	0.013	2066	0.0123	2066	0.1277	414	0.0077	18271	0.0582	135588	0.0555	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297870:p__Atribacterota:phylum	421497	0.111	0	NA	221	0.0723	485	0.0749	47887	0.1072	0	NA	0	NA	0	NA	0	NA	125188	0.0781	51751	0.0921	36127	0.0926	16499	0.0687	17973	0.0881	27319	0.1365	6349	0.1661	33919	0.1349	15938	0.0771	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	41841	0.2516	0	NA	0	NA	0	NA	"297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297872:o__SB-45:order	421448	0.111	0	NA	220	0.0723	485	0.0749	47884	0.1072	0	NA	0	NA	0	NA	0	NA	125180	0.0781	51746	0.0921	36118	0.0927	16496	0.0688	17970	0.0881	27316	0.1365	6348	0.1661	33916	0.1349	15934	0.0771	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	41835	0.2516	0	NA	0	NA	0	NA	"297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297871:c__JS1:class	421448	0.111	0	NA	220	0.0723	485	0.0749	47884	0.1072	0	NA	0	NA	0	NA	0	NA	125180	0.0781	51746	0.0921	36118	0.0927	16496	0.0688	17970	0.0881	27316	0.1365	6348	0.1661	33916	0.1349	15934	0.0771	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	41835	0.2516	0	NA	0	NA	0	NA	"297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
297873:f__34-128:family	417971	0.111	0	NA	220	0.0723	483	0.0757	47668	0.1074	0	NA	0	NA	0	NA	0	NA	123891	0.0777	51240	0.0918	35815	0.0926	16309	0.069	17769	0.0882	27032	0.1371	6280	0.1662	33749	0.1349	15839	0.0771	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	41676	0.2518	0	NA	0	NA	0	NA	"297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
343024:g__34-128:genus	388810	0.112	0	NA	199	0.0822	441	0.0745	43526	0.1086	0	NA	0	NA	0	NA	0	NA	117638	0.0779	48330	0.092	33635	0.0923	15220	0.0696	16416	0.0897	25260	0.1376	5808	0.1671	30212	0.138	14188	0.0784	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	37937	0.2558	0	NA	0	NA	0	NA	"343024:g__34-128:genus;297873:f__34-128:family;297872:o__SB-45:order;297871:c__JS1:class;297870:p__Atribacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
268504:p__Nitrospinota:phylum	385510	0.229	0	NA	9	0.5	0	NA	13	0.0	0	NA	0	NA	0	NA	8	0.0	51	0.0	331	0.3111	43	0.4118	332534	0.2232	5	0.0	11	0.3333	12	0.0	6273	0.1406	5497	0.1454	10	0.0	12	0.0	7	0.0	14	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	40651	0.2982	0	NA	0	NA	29	0.0	"268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
303469:c__UBA9942:class	385172	0.229	0	NA	8	0.5	0	NA	9	0.0	0	NA	0	NA	0	NA	5	0.0	25	0.0	320	0.3146	39	0.5	332501	0.2232	4	0.0	3	0.0	2	0.0	6235	0.1397	5461	0.1457	0	NA	2	0.0	1	0.0	1	0.0	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	40548	0.2982	0	NA	0	NA	8	0.0	"303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509640:GB_GCA_018830405.1:subspecies	384887	0.229	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	2	0.0	8	0.0	318	0.3146	37	0.5	332475	0.2232	3	0.0	1	0.0	0	NA	6173	0.1398	5419	0.1456	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	40450	0.2981	0	NA	0	NA	0	NA	"509640:GB_GCA_018830405.1:subspecies;509639:s__JAHJSF01 sp018830405:species;509638:g__JAHJSF01:genus;509637:f__JAHJSF01:family;509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509639:s__JAHJSF01 sp018830405:species	384887	0.229	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	2	0.0	8	0.0	318	0.3146	37	0.5	332475	0.2232	3	0.0	1	0.0	0	NA	6173	0.1398	5419	0.1456	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	40450	0.2981	0	NA	0	NA	0	NA	"509639:s__JAHJSF01 sp018830405:species;509638:g__JAHJSF01:genus;509637:f__JAHJSF01:family;509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509638:g__JAHJSF01:genus	384887	0.229	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	2	0.0	8	0.0	318	0.3146	37	0.5	332475	0.2232	3	0.0	1	0.0	0	NA	6173	0.1398	5419	0.1456	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	40450	0.2981	0	NA	0	NA	0	NA	"509638:g__JAHJSF01:genus;509637:f__JAHJSF01:family;509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509637:f__JAHJSF01:family	384887	0.229	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	2	0.0	8	0.0	318	0.3146	37	0.5	332475	0.2232	3	0.0	1	0.0	0	NA	6173	0.1398	5419	0.1456	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	40450	0.2981	0	NA	0	NA	0	NA	"509637:f__JAHJSF01:family;509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
509636:o__JAHJSF01:order	384887	0.229	0	NA	0	NA	0	NA	1	0.0	0	NA	0	NA	0	NA	2	0.0	8	0.0	318	0.3146	37	0.5	332475	0.2232	3	0.0	1	0.0	0	NA	6173	0.1398	5419	0.1456	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	0	NA	40450	0.2981	0	NA	0	NA	0	NA	"509636:o__JAHJSF01:order;303469:c__UBA9942:class;268504:p__Nitrospinota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
177040:o__Propionibacteriales:order	336212	0.035	125	0.0	3333	0.0943	5529	0.1971	98046	0.0597	35	0.0	505	0.0054	689	0.0066	889	0.0253	2811	0.0196	17144	0.031	91	0.0278	56	0.1429	161	0.0484	39076	0.0213	38670	0.0401	162	0.0	32	0.0667	3295	0.0279	68063	0.0147	193	0.0	441	0.0488	102	0.0	3	0.0	3709	0.0052	13340	0.0074	9043	0.0086	28419	0.0091	19	0.0	153	0.0175	107	0.0233	1971	0.0175	"177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
238248:p__Desulfobacterota:phylum	309837	0.102	8	0.0	250	0.1386	242	0.0968	1757	0.1056	0	NA	5	0.0	34	0.0	72	0.0909	94753	0.0572	50147	0.1252	35190	0.126	22249	0.0884	33656	0.1122	26310	0.1435	13843	0.1631	11338	0.1175	10143	0.0618	117	0.0811	179	0.0939	165	0.0196	287	0.0573	0	NA	0	NA	13	0.0	14	0.5	20	0.0	41	0.0	8523	0.1594	0	NA	84	0.0588	397	0.0699	"238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
270462:f__Nocardioidaceae:family	304272	0.038	54	0.0	3020	0.094	5162	0.1938	97457	0.0597	21	0.0	324	0.0081	136	0.0	558	0.0284	2353	0.0201	16563	0.0318	71	0.0323	20	0.2222	112	0.0465	38879	0.0211	38264	0.0401	75	0.0	18	0.0	2915	0.0286	67269	0.0146	144	0.0	347	0.0556	3	0.0	1	0.0	100	0.0	141	0.0	506	0.015	28161	0.0091	15	0.0	10	0.0	66	0.0	1507	0.0186	"270462:f__Nocardioidaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
242817:c__Thermoleophilia:class	299518	0.034	20	0.0	70	0.1111	2477	0.0526	53758	0.0668	12	0.2	47	0.0	98	0.037	851	0.0936	10584	0.0226	26734	0.0313	2053	0.033	565	0.0722	1363	0.0795	3283	0.065	2664	0.0199	184	0.0441	406	0.0313	30903	0.046	137454	0.0191	3945	0.0224	9990	0.0293	2	0.0	0	NA	7	0.0	32	0.0	36	0.0	9129	0.0145	942	0.0875	5	0.0	345	0.0514	1559	0.0513	"242817:c__Thermoleophilia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
137197:o__Burkholderiales:order	279140	0.056	1765	0.0164	3088	0.0081	226	0.0507	3031	0.146	463	0.0523	826	0.0536	3251	0.1083	7676	0.0792	1819	0.0515	3535	0.0297	1037	0.1172	476	0.0872	1556	0.0454	16848	0.0306	12856	0.0329	1591	0.0506	795	0.0457	15207	0.0936	17055	0.0899	11842	0.0369	25130	0.0461	253	0.0058	9	0.0471	1941	0.0085	4081	0.0156	4928	0.0136	691	0.0183	1714	0.1315	162	0.0	16086	0.0579	119202	0.0566	"137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173790:p__Bacteroidota:phylum	245064	0.075	549	0.0371	5305	0.1079	4779	0.1447	10311	0.1443	233	0.1089	1448	0.0561	3020	0.0574	5759	0.0829	47871	0.0735	17459	0.0675	9005	0.1006	4263	0.0896	7706	0.1075	15252	0.0999	21796	0.0473	1992	0.1028	1110	0.0499	4810	0.0675	4380	0.077	9070	0.0422	15110	0.0445	405	0.0174	0	NA	1776	0.0201	3176	0.0128	3057	0.0152	491	0.0243	8267	0.2456	219	0.02	4510	0.0538	31935	0.0355	"173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
242818:o__Solirubrobacterales:order	244250	0.032	11	0.0	58	0.0833	2420	0.0508	51916	0.0655	3	0.0	31	0.0	44	0.0	267	0.0417	4461	0.0144	16040	0.0229	56	0.0303	24	0.2353	242	0.0713	477	0.0299	1955	0.0133	52	0.0526	34	0.0	24717	0.0422	129890	0.0183	376	0.0296	2940	0.0407	2	0.0	0	NA	7	0.0	21	0.0	24	0.0	7916	0.0139	11	0.2	4	0.0	35	0.0652	216	0.0487	"242818:o__Solirubrobacterales:order;242817:c__Thermoleophilia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173791:c__Bacteroidia:class	208398	0.065	542	0.0379	4660	0.1069	4186	0.1483	6311	0.1518	231	0.0909	1431	0.0564	3000	0.0549	5702	0.0826	39101	0.0767	15559	0.0645	7120	0.1	3136	0.1004	4377	0.0905	12776	0.0869	20355	0.0413	1227	0.0662	758	0.044	4383	0.0747	4224	0.0751	8896	0.042	14812	0.0449	405	0.0174	0	NA	1769	0.0202	3091	0.0131	3045	0.0153	468	0.0257	823	0.1755	218	0.02	4345	0.0531	31447	0.0351	"173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315:c__Alphaproteobacteria:class	204998	0.03	2041	0.0189	909	0.0132	410	0.0629	4557	0.0744	354	0.0175	1978	0.0182	1980	0.0167	4993	0.0197	5586	0.1119	11742	0.0304	575	0.0453	528	0.0133	3517	0.1048	12244	0.0286	12634	0.0411	1339	0.0477	661	0.0158	7430	0.0336	4810	0.0571	11884	0.025	36479	0.0331	1186	0.0086	16	0.0	8040	0.0114	17559	0.0101	16413	0.0098	5599	0.012	300	0.068	323	0.0	1805	0.0363	27106	0.0227	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101057:o__Mycobacteriales:order	190982	0.018	373	0.0075	1285	0.0348	1198	0.1589	13125	0.0547	109	0.0	707	0.0149	2515	0.007	3133	0.0106	1157	0.0187	13936	0.0255	123	0.0229	167	0.0051	507	0.0219	7480	0.0238	14367	0.0198	543	0.0052	182	0.0429	4930	0.0207	5940	0.0203	512	0.0254	1137	0.0553	136	0.0	9	0.0	3639	0.0114	83747	0.0088	6534	0.009	18704	0.0222	102	0.0	443	0.0066	275	0.061	3967	0.0147	"101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
271173:c__Desulfobacteria:class	190098	0.105	2	0.0	57	0.0	49	0.0	218	0.1345	0	NA	1	0.0	6	0.0	15	0.0	66126	0.0631	36013	0.1377	19015	0.1189	16546	0.0876	17855	0.1152	15102	0.1408	8355	0.1727	2008	0.131	1582	0.0684	20	0.0	39	0.0775	52	0.0	64	0.087	0	NA	0	NA	4	0.0	1	0.0	6	0.0	9	0.0	6876	0.1583	0	NA	15	0.0	62	0.0	"271173:c__Desulfobacteria:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
271174:o__Desulfobacterales:order	188066	0.105	2	0.0	50	0.0	43	0.0	187	0.1359	0	NA	1	0.0	6	0.0	15	0.0	65371	0.0629	35769	0.1376	18845	0.1183	16376	0.0873	17594	0.1157	14945	0.1408	8275	0.1727	1962	0.1299	1522	0.0712	19	0.0	39	0.0775	51	0.0	63	0.087	0	NA	0	NA	4	0.0	1	0.0	6	0.0	8	0.0	6836	0.156	0	NA	15	0.0	61	0.0	"271174:o__Desulfobacterales:order;271173:c__Desulfobacteria:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
368410:f__Thermoleophilaceae:family	173556	0.033	1	0.0	40	0.1053	291	0.1455	39549	0.0671	0	NA	8	0.0	4	0.0	133	0.04	2815	0.0131	690	0.0172	5	0.0	5	0.0	77	0.0556	57	0.0	35	0.0	3	0.0	1	0.0	14562	0.0533	111739	0.0184	34	0.0	94	0.1	0	NA	0	NA	0	NA	2	0.0	0	NA	3350	0.0158	1	0.0	0	NA	6	0.0	54	0.0476	"368410:f__Thermoleophilaceae:family;242818:o__Solirubrobacterales:order;242817:c__Thermoleophilia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
332085:f__Rubrobacteraceae:family	146761	0.029	1	0.0	78	0.0667	246	0.2346	45121	0.0511	2	0.0	46	0.0	15	0.0	85	0.0392	2488	0.0148	1913	0.0163	3	0.0	0	NA	16	0.0	11	0.0	24	0.0	25	0.0	2	0.0	6080	0.0187	41083	0.0197	73	0.0	112	0.0588	0	NA	0	NA	1	0.0	11	0.0	23	0.0	49046	0.0189	59	0.0	4	0.0	8	0.0	185	0.0165	"332085:f__Rubrobacteraceae:family;332084:o__Rubrobacterales:order;332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
332084:o__Rubrobacterales:order	146761	0.029	1	0.0	78	0.0667	246	0.2346	45121	0.0511	2	0.0	46	0.0	15	0.0	85	0.0392	2488	0.0148	1913	0.0163	3	0.0	0	NA	16	0.0	11	0.0	24	0.0	25	0.0	2	0.0	6080	0.0187	41083	0.0197	73	0.0	112	0.0588	0	NA	0	NA	1	0.0	11	0.0	23	0.0	49046	0.0189	59	0.0	4	0.0	8	0.0	185	0.0165	"332084:o__Rubrobacterales:order;332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
332083:c__Rubrobacteria:class	146761	0.029	1	0.0	78	0.0667	246	0.2346	45121	0.0511	2	0.0	46	0.0	15	0.0	85	0.0392	2488	0.0148	1913	0.0163	3	0.0	0	NA	16	0.0	11	0.0	24	0.0	25	0.0	2	0.0	6080	0.0187	41083	0.0197	73	0.0	112	0.0588	0	NA	0	NA	1	0.0	11	0.0	23	0.0	49046	0.0189	59	0.0	4	0.0	8	0.0	185	0.0165	"332083:c__Rubrobacteria:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
222536:p__Cyanobacteriota:phylum	146040	0.031	44	0.0	77	0.0435	19	0.0	5071	0.1518	10	0.0	2871	0.0198	90	0.0452	204	0.0227	236	0.077	7985	0.0317	114	0.1364	59	0.125	102	0.0	132	0.0625	92	0.0779	166	0.0629	74	0.0	115941	0.0251	1498	0.0356	1108	0.0633	1737	0.0667	0	NA	0	NA	132	0.0	56	0.0	2155	0.0066	3994	0.0407	67	0.1667	16	0.0	180	0.0339	1810	0.0079	"222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
222537:c__Cyanobacteriia:class	141091	0.03	38	0.0	34	0.0714	13	0.0	5055	0.1523	8	0.0	2847	0.02	61	0.0763	151	0.0075	188	0.0878	7960	0.0319	73	0.125	38	0.1111	70	0.0	102	0.0769	70	0.0	124	0.0815	43	0.0	115898	0.0251	1475	0.036	104	0.0	206	0.0677	0	NA	0	NA	113	0.0	29	0.0	2083	0.0046	3933	0.0416	41	0.1667	16	0.0	124	0.0556	194	0.0	"222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
224374:o__Cyanobacteriales:order	136632	0.028	28	0.0	29	0.0769	8	0.0	2495	0.133	6	0.0	2676	0.0186	48	0.0	121	0.0	159	0.1088	7869	0.0324	44	0.125	26	0.1429	47	0.0	62	0.0909	51	0.0	97	0.1209	26	0.0	115592	0.0251	1397	0.0353	49	0.0	72	0.1176	0	NA	0	NA	106	0.0	23	0.0	2066	0.0044	3284	0.0452	26	0.1667	12	0.0	102	0.0323	111	0.0	"224374:o__Cyanobacteriales:order;222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
233990:f__Burkholderiaceae_B:family	136228	0.052	361	0.0305	2437	0.0071	144	0.0106	812	0.128	186	0.0575	425	0.0639	2207	0.1305	4027	0.115	816	0.0468	1550	0.0247	132	0.0899	138	0.0204	658	0.0313	11910	0.0298	6318	0.0242	586	0.0329	256	0.0714	2279	0.0654	2515	0.0911	6092	0.0375	13435	0.0458	154	0.0	4	0.1099	555	0.0159	1226	0.0158	1867	0.0197	241	0.0104	80	0.1364	51	0.0	8177	0.0635	66589	0.0556	"233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
249843:p__Patescibacteria:phylum	125333	0.104	278	0.0859	1594	0.097	2472	0.1584	2030	0.0821	27	0.3333	225	0.0999	963	0.1419	5088	0.1886	23152	0.0504	7194	0.1088	29197	0.1325	7320	0.0759	2818	0.1148	6724	0.1225	2265	0.1221	5277	0.0975	3022	0.0928	1880	0.1479	729	0.124	1013	0.0439	1889	0.0394	16	0.0	0	NA	29	0.2	35	0.0	24	0.0	36	0.0	4210	0.2293	8	0.0	4347	0.0595	11471	0.0793	"249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
291736:f__Chroococcidiopsidaceae:family	123908	0.025	1	0.0	7	0.0	0	NA	24	0.2222	3	0.0	2300	0.0126	10	0.0	32	0.0	70	0.1304	5180	0.0189	1	0.0	8	0.0	7	0.0	6	0.0	3	0.0	19	0.0	6	0.0	113683	0.0248	1330	0.0342	1	0.0	1	0.0	0	NA	0	NA	76	0.0	6	0.0	66	0.0	1035	0.0524	2	0.0	3	0.0	7	0.0	21	0.0	"291736:f__Chroococcidiopsidaceae:family;224374:o__Cyanobacteriales:order;222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
402235:g__Aliterella:genus	120492	0.025	1	0.0	7	0.0	0	NA	20	0.1429	1	0.0	11	0.0	6	0.0	30	0.0	58	0.1111	5159	0.0189	0	NA	1	0.0	7	0.0	5	0.0	1	0.0	8	0.0	4	0.0	113594	0.0248	1325	0.0344	0	NA	1	0.0	0	NA	0	NA	3	0.0	2	0.0	31	0.0	189	0.0227	1	0.0	2	0.0	4	0.0	21	0.0	"402235:g__Aliterella:genus;291736:f__Chroococcidiopsidaceae:family;224374:o__Cyanobacteriales:order;222537:c__Cyanobacteriia:class;222536:p__Cyanobacteriota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
252024:p__Chloroflexota:phylum	120106	0.068	31	0.0	823	0.1034	1149	0.1165	5651	0.1022	25	0.0	26	0.0	58	0.0952	152	0.0609	4049	0.0385	7447	0.0606	7384	0.1128	3503	0.1062	6190	0.1236	6135	0.1316	4102	0.1538	5541	0.1103	3081	0.0843	16129	0.0616	25437	0.0241	4433	0.025	9578	0.0278	0	NA	0	NA	13	0.0	17	0.0	52	0.0	2667	0.0074	1802	0.1181	15	0.0	740	0.0475	3876	0.0593	"252024:p__Chloroflexota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
191257:p__Verrucomicrobiota:phylum	111506	0.072	37	0.1176	382	0.1829	243	0.0986	1129	0.0701	14	0.0	46	0.025	90	0.0606	240	0.1347	2912	0.0457	1315	0.1087	950	0.0631	218	0.1159	778	0.1514	1085	0.0653	245	0.1016	16065	0.1028	38077	0.0534	1619	0.0788	4118	0.0893	9554	0.0372	16443	0.0365	0	NA	0	NA	84	0.1429	130	0.0303	186	0.0306	124	0.0	13426	0.1447	10	0.0	451	0.0562	1535	0.0595	"191257:p__Verrucomicrobiota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
270463:g__Nocardioides:genus	111128	0.036	30	0.0	1506	0.0985	2334	0.2081	7827	0.062	12	0.0	291	0.009	84	0.0	411	0.0192	365	0.0196	14777	0.031	56	0.0417	7	0.6667	68	0.0333	38360	0.0212	35923	0.0397	52	0.0	9	0.0	1978	0.0261	4573	0.023	66	0.0	139	0.0652	3	0.0	1	0.0	75	0.0	121	0.0	412	0.0158	539	0.0361	7	0.0	6	0.0	36	0.0	1060	0.0097	"270463:g__Nocardioides:genus;270462:f__Nocardioidaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
171647:o__Actinomycetales:order	107860	0.031	601	0.0093	12162	0.0271	2316	0.1692	2967	0.0859	266	0.0	1107	0.0067	5236	0.0148	7884	0.0244	7299	0.0293	11854	0.0269	301	0.0099	670	0.0161	771	0.0285	4079	0.0257	11302	0.0249	867	0.0153	253	0.06	2400	0.03	2579	0.034	539	0.0362	2880	0.0397	155	0.0137	1	0.0	2687	0.0076	3456	0.0042	4463	0.0067	1518	0.027	140	0.02	492	0.0	1686	0.0551	14929	0.0394	"171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
257589:p__Nitrospirota:phylum	107032	0.079	30	0.0918	990	0.1256	737	0.1999	1788	0.1546	0	NA	43	0.1724	77	0.15	312	0.0918	10795	0.0614	379	0.109	1508	0.1081	691	0.1427	730	0.1566	799	0.1071	297	0.2215	13268	0.1284	6187	0.0784	2119	0.1346	3915	0.1209	19320	0.0426	31038	0.0481	0	NA	0	NA	37	0.0	63	0.0	66	0.0307	18	0.0	4512	0.2324	0	NA	398	0.0263	6915	0.0385	"257589:p__Nitrospirota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
