TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	taxpath
14525	"p__Pseudomonadota"	34555	1.02	2.38	0.0113	0.0095	55.91	0.9787	0.611	0.62	944329	0.021	311184	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101055	"p__Actinomycetota"	21463	1.05	2.31	0.0093	0.0057	63.16	0.9847	0.639	0.64	716526	0.051	81821	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	21218	1.05	2.31	0.009	0.0057	63.28	0.9848	0.639	0.64	710386	0.051	73191	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	17411	1.03	2.38	0.013	0.0103	56.58	0.9799	0.578	0.591	485425	0.025	133702	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
159315	"c__Alphaproteobacteria"	16413	1.02	2.38	0.0098	0.009	55.53	0.9777	0.644	0.65	442153	0.022	137843	"159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
177040	"o__Propionibacteriales"	9043	1.07	2.06	0.0086	0.0042	65.87	0.9913	0.609	0.61	321422	0.061	12867	"177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63358	"c__Bacilli"	9001	1.05	2.53	0.0139	0.0096	65.12	0.9874	0.352	0.35	318222	0.048	23474	"63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63357	"p__Bacillota"	9001	1.05	2.53	0.0139	0.0096	65.12	0.9874	0.352	0.35	318222	0.048	23474	"63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
177041	"f__Propionibacteriaceae"	8520	1.06	2.02	0.0082	0.0041	66.17	0.9923	0.603	0.604	305782	0.06	10705	"177041:f__Propionibacteriaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
177042	"g__Cutibacterium"	8416	1.06	2.01	0.0079	0.0041	66.27	0.9924	0.602	0.603	303134	0.059	10440	"177042:g__Cutibacterium:genus;177041:f__Propionibacteriaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
161314	"o__Rhizobiales"	7802	1.01	2.24	0.0094	0.0135	53.05	0.9747	0.633	0.639	193120	0.012	74297	"161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63359	"o__Staphylococcales"	7242	1.05	2.59	0.0132	0.01	66.38	0.9882	0.336	0.335	264975	0.047	10440	"63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63360	"f__Staphylococcaceae"	7027	1.05	2.6	0.0129	0.0103	66.55	0.9882	0.335	0.334	257535	0.049	10009	"63360:f__Staphylococcaceae:family;63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63361	"g__Staphylococcus"	6944	1.05	2.61	0.0131	0.0104	66.58	0.9882	0.334	0.334	254499	0.05	9606	"63361:g__Staphylococcus:genus;63360:f__Staphylococcaceae:family;63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
108193	"o__Pseudomonadales"	6851	1.03	2.33	0.0124	0.0128	55.54	0.9797	0.525	0.543	183182	0.029	56903	"108193:o__Pseudomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
177258	"RS_GCF_003030305.1"	6677	1.07	2.01	0.0051	0.0021	67.65	0.9947	0.601	0.602	247411	0.065	6700	"177258:RS_GCF_003030305.1:subspecies;177043:s__Cutibacterium acnes:species;177042:g__Cutibacterium:genus;177041:f__Propionibacteriaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
177043	"s__Cutibacterium acnes"	6677	1.07	2.01	0.0051	0.0021	67.65	0.9947	0.601	0.602	247411	0.065	6700	"177043:s__Cutibacterium acnes:species;177042:g__Cutibacterium:genus;177041:f__Propionibacteriaceae:family;177040:o__Propionibacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101057	"o__Mycobacteriales"	6534	1.04	2.38	0.009	0.0072	61.18	0.9796	0.645	0.646	208909	0.036	21224	"101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
227325	"f__Xanthobacteraceae"	5364	1.02	2.21	0.0102	0.0111	51.67	0.9735	0.63	0.636	124476	0.02	53287	"227325:f__Xanthobacteraceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
223507	"o__Sphingomonadales"	5264	1.03	2.53	0.0104	0.0051	59.31	0.9799	0.655	0.661	159785	0.031	19480	"223507:o__Sphingomonadales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
223508	"f__Sphingomonadaceae"	5262	1.03	2.53	0.0104	0.0051	59.32	0.9799	0.655	0.661	159752	0.031	19332	"223508:f__Sphingomonadaceae:family;223507:o__Sphingomonadales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101058	"f__Mycobacteriaceae"	5186	1.03	2.3	0.0098	0.0067	62.85	0.9812	0.631	0.633	175336	0.03	15112	"101058:f__Mycobacteriaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
