TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	taxpath
101055	"p__Actinomycetota"	103490	1.67	2.6	0.0086	0.009	92.31	0.9798	0.644	0.648	3974162	0.403	321239	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	103186	1.68	2.6	0.0086	0.009	92.42	0.9798	0.644	0.648	3968484	0.403	308382	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101057	"o__Mycobacteriales"	83747	1.78	2.69	0.0088	0.0099	98.31	0.9777	0.65	0.653	3315666	0.437	210824	"101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101058	"f__Mycobacteriaceae"	82297	1.79	2.7	0.0088	0.0099	99.0	0.9778	0.649	0.652	3273496	0.44	202200	"101058:f__Mycobacteriaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
175271	"g__Corynebacterium"	79538	1.8	2.71	0.0087	0.0102	100.5	0.9776	0.65	0.653	3195911	0.446	193907	"175271:g__Corynebacterium:genus;101058:f__Mycobacteriaceae:family;101057:o__Mycobacteriales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63358	"c__Bacilli"	45960	1.16	2.57	0.0093	0.008	66.97	0.9889	0.369	0.366	1539225	0.141	100055	"63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63357	"p__Bacillota"	45960	1.16	2.57	0.0093	0.008	66.97	0.9889	0.369	0.366	1539225	0.141	100055	"63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14525	"p__Pseudomonadota"	35248	1.05	2.38	0.0123	0.0094	58.15	0.9791	0.597	0.601	1011706	0.048	318184	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63359	"o__Staphylococcales"	25866	1.21	2.93	0.0061	0.0054	68.89	0.9918	0.316	0.316	873610	0.174	38058	"63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63360	"f__Staphylococcaceae"	25500	1.22	2.93	0.0062	0.0051	68.91	0.9919	0.315	0.315	858029	0.177	36797	"63360:f__Staphylococcaceae:family;63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
63361	"g__Staphylococcus"	25310	1.22	2.93	0.0061	0.0051	68.94	0.992	0.315	0.315	850963	0.179	34869	"63361:g__Staphylococcus:genus;63360:f__Staphylococcaceae:family;63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
193415	"RS_GCF_002901845.1"	20899	1.19	2.96	0.0033	0.0032	68.98	0.9944	0.313	0.313	717797	0.162	20923	"193415:RS_GCF_002901845.1:subspecies;193293:s__Staphylococcus hominis:species;63361:g__Staphylococcus:genus;63360:f__Staphylococcaceae:family;63359:o__Staphylococcales:order;63358:c__Bacilli:class;63357:p__Bacillota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
