TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
368783	"s__Phocaeicola sp017466635"	1	1.0	6.06	0	0.0	35.0	0.9714	0.514	0.543	7	0.0	1	0.0	0.0	"368783:s__Phocaeicola sp017466635:species;173794:g__Phocaeicola:genus;173793:f__Bacteroidaceae:family;173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
407014	"GB_GCA_020052645.1"	1	1.0	1.23	0.0	0	31.0	0.9677	0.484	0.516	3	0.0	1	1.0	0.0	"407014:GB_GCA_020052645.1:subspecies;407013:s__JAGVOQ01 sp020052645:species;407012:g__JAGVOQ01:genus;323359:f__Velamenicoccaceae:family;323358:o__Velamenicoccales:order;284416:c__Koll11:class;284415:p__Omnitrophota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
407013	"s__JAGVOQ01 sp020052645"	1	1.0	1.23	0.0	0	31.0	0.9677	0.484	0.516	3	0.0	1	1.0	0.0	"407013:s__JAGVOQ01 sp020052645:species;407012:g__JAGVOQ01:genus;323359:f__Velamenicoccaceae:family;323358:o__Velamenicoccales:order;284416:c__Koll11:class;284415:p__Omnitrophota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
407012	"g__JAGVOQ01"	1	1.0	1.23	0.0	0	31.0	0.9677	0.484	0.516	3	0.0	1	1.0	0.0	"407012:g__JAGVOQ01:genus;323359:f__Velamenicoccaceae:family;323358:o__Velamenicoccales:order;284416:c__Koll11:class;284415:p__Omnitrophota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
470442	"RS_GCF_000686885.1"	1	1.0	1.72	0	0.0	31.0	0.9677	0.419	0.452	3	0.0	1	0.0	0.0	"470442:RS_GCF_000686885.1:subspecies;470441:s__Flavobacterium sasangense:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
470441	"s__Flavobacterium sasangense"	1	1.0	1.72	0	0.0	31.0	0.9677	0.419	0.452	3	0.0	1	0.0	0.0	"470441:s__Flavobacterium sasangense:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
425243	"GB_GCA_011050615.1"	1	1.0	1.62	0	0.0	41.0	0.9512	0.39	0.39	13	0.0	1	0.0	0.0	"425243:GB_GCA_011050615.1:subspecies;425242:s__UBA9300 sp011050615:species;425241:g__UBA9300:genus;272706:f__VadinHA17:family;173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
425242	"s__UBA9300 sp011050615"	1	1.0	1.62	0	0.0	41.0	0.9512	0.39	0.39	13	0.0	1	0.0	0.0	"425242:s__UBA9300 sp011050615:species;425241:g__UBA9300:genus;272706:f__VadinHA17:family;173792:o__Bacteroidales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
507993	"RS_GCF_004403395.1"	1	1.0	1.22	0	0	43.0	0.9535	0.535	0.558	15	0.0	1	0.0	0.0	"507993:RS_GCF_004403395.1:subspecies;507992:s__Cryobacterium sp004403395:species;266042:g__Cryobacterium:genus;219704:f__Microbacteriaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
507992	"s__Cryobacterium sp004403395"	1	1.0	1.22	0	0	43.0	0.9535	0.535	0.558	15	0.0	1	0.0	0.0	"507992:s__Cryobacterium sp004403395:species;266042:g__Cryobacterium:genus;219704:f__Microbacteriaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
