TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
376459	"RS_GCF_014852685.1"	1	1.0	1.9	0.0	0	67.0	0.9552	0.701	0.731	39	0.0	1	0.0	0.0	"376459:RS_GCF_014852685.1:subspecies;376457:s__Flavimobilis rhizosphaerae:species;375849:g__Flavimobilis:genus;255237:f__Cellulomonadaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
376457	"s__Flavimobilis rhizosphaerae"	1	1.0	1.9	0.0	0	67.0	0.9552	0.701	0.731	39	0.0	1	0.0	0.0	"376457:s__Flavimobilis rhizosphaerae:species;375849:g__Flavimobilis:genus;255237:f__Cellulomonadaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
470646	"RS_GCF_001653515.1"	1	1.0	2.07	0.0	0.0	43.0	0.9535	0.744	0.791	15	0.0	1	1.0	1.0	"470646:RS_GCF_001653515.1:subspecies;470645:s__Streptomyces sp001653515:species;207082:g__Streptomyces:genus;207081:f__Streptomycetaceae:family;207080:o__Streptomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
470645	"s__Streptomyces sp001653515"	1	1.0	2.07	0.0	0.0	43.0	0.9535	0.744	0.791	15	0.0	1	1.0	1.0	"470645:s__Streptomyces sp001653515:species;207082:g__Streptomyces:genus;207081:f__Streptomycetaceae:family;207080:o__Streptomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
386023	"RS_GCF_003852405.1"	1	1.0	0.4	0.0	0	34.0	0.9706	0.559	0.588	6	0.0	1	0.0	0.0	"386023:RS_GCF_003852405.1:subspecies;386021:s__Pseudomonas_E sp003852405:species;154229:g__Pseudomonas_E:genus;108194:f__Pseudomonadaceae:family;108193:o__Pseudomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
386021	"s__Pseudomonas_E sp003852405"	1	1.0	0.4	0.0	0	34.0	0.9706	0.559	0.588	6	0.0	1	0.0	0.0	"386021:s__Pseudomonas_E sp003852405:species;154229:g__Pseudomonas_E:genus;108194:f__Pseudomonadaceae:family;108193:o__Pseudomonadales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
321605	"RS_GCF_015291725.1"	1	1.0	2.17	0	0.0	64.0	0.9531	0.703	0.719	36	0.0	1	0.0	0.0	"321605:RS_GCF_015291725.1:subspecies;321602:s__Bradyrhizobium japonicum_D:species;227326:g__Bradyrhizobium:genus;227325:f__Xanthobacteraceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
321602	"s__Bradyrhizobium japonicum_D"	1	1.0	2.17	0	0.0	64.0	0.9531	0.703	0.719	36	0.0	1	0.0	0.0	"321602:s__Bradyrhizobium japonicum_D:species;227326:g__Bradyrhizobium:genus;227325:f__Xanthobacteraceae:family;161314:o__Rhizobiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
166433	"g__Yersinia"	1	1.0	2.16	0.0	0.0	41.0	0.9878	0.463	0.476	13	0.0	2	0.0	0.0	"166433:g__Yersinia:genus;14528:f__Enterobacteriaceae:family;14527:o__Enterobacterales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
515361	"GB_GCA_016177905.1"	1	1.0	2.13	0	0.0	51.0	0.9608	0.314	0.353	23	0.0	1	1.0	1.0	"515361:GB_GCA_016177905.1:subspecies;515360:s__JACOUK01 sp016177905:species;515359:g__JACOUK01:genus;362347:f__H02-43-30:family;362346:o__Spechtbacterales:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
