TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
101055	"p__Actinomycetota"	9145	1.034	2.61	0.0144	0.011	65.94	0.9852	0.664	0.67	335623	0.033	11750	0.056	0.009	"101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
101056	"c__Actinomycetia"	8677	1.041	2.64	0.012	0.0089	66.8	0.9861	0.667	0.672	323321	0.04	9664	0.051	0.007	"101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14525	"p__Pseudomonadota"	7809	1.036	2.28	0.0713	0.0373	55.41	0.975	0.59	0.6	206658	0.035	11171	0.15	0.028	"14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
14526	"c__Gammaproteobacteria"	5826	1.033	2.19	0.0911	0.0469	53.88	0.9742	0.571	0.579	145943	0.032	9009	0.176	0.034	"14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
171647	"o__Actinomycetales"	5236	1.04	2.78	0.0148	0.0102	67.79	0.986	0.686	0.692	200400	0.038	5540	0.051	0.008	"171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
137197	"o__Burkholderiales"	3251	1.022	2.12	0.1083	0.0615	49.16	0.9704	0.579	0.594	67279	0.022	5470	0.212	0.041	"137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
243063	"f__Dermatophilaceae"	3210	1.053	2.96	0.0088	0.0028	70.49	0.9896	0.712	0.715	129554	0.05	3241	0.031	0.004	"243063:f__Dermatophilaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173790	"p__Bacteroidota"	3020	1.052	2.41	0.0574	0.0357	53.39	0.9757	0.419	0.428	72897	0.049	3813	0.148	0.029	"173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
173791	"c__Bacteroidia"	3000	1.053	2.4	0.0549	0.0359	53.44	0.9757	0.419	0.428	72505	0.05	3791	0.148	0.029	"173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
317738	"g__Janibacter"	2679	1.059	2.98	0.0095	0.0033	70.75	0.9896	0.717	0.719	108116	0.056	2693	0.028	0.004	"317738:g__Janibacter:genus;243063:f__Dermatophilaceae:family;171647:o__Actinomycetales:order;101056:c__Actinomycetia:class;101055:p__Actinomycetota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
