TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
502439	"s__GCF-002259525 sp020410805"	1	1.0	2.03	0.0	0	48.0	0.9792	0.438	0.458	20	0.0	1	0.0	0.0	"502439:s__GCF-002259525 sp020410805:species;333424:g__GCF-002259525:genus;221216:f__Rickettsiaceae:family;159316:o__Rickettsiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
333424	"g__GCF-002259525"	1	1.0	2.03	0.0	0	48.0	0.9792	0.438	0.458	20	0.0	1	0.0	0.0	"333424:g__GCF-002259525:genus;221216:f__Rickettsiaceae:family;159316:o__Rickettsiales:order;159315:c__Alphaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
429993	"GB_GCA_002479715.1"	1	1.0	1.63	0	0.0	44.0	0.9773	0.364	0.341	16	0.0	1	0.0	0.0	"429993:GB_GCA_002479715.1:subspecies;429992:s__UBA7477 sp002479715:species;406943:g__UBA7477:genus;213244:f__Ruminococcaceae:family;211031:o__Oscillospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
429992	"s__UBA7477 sp002479715"	1	1.0	1.63	0	0.0	44.0	0.9773	0.364	0.341	16	0.0	1	0.0	0.0	"429992:s__UBA7477 sp002479715:species;406943:g__UBA7477:genus;213244:f__Ruminococcaceae:family;211031:o__Oscillospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
406943	"g__UBA7477"	1	1.0	1.63	0	0.0	44.0	0.9773	0.364	0.341	16	0.0	1	0.0	0.0	"406943:g__UBA7477:genus;213244:f__Ruminococcaceae:family;211031:o__Oscillospirales:order;122150:c__Clostridia:class;122149:p__Bacillota_A:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
496787	"GB_GCA_022842645.1"	1	1.0	0.69	0	0.0	32.0	0.9688	0.5	0.469	4	0.0	1	0.0	0.0	"496787:GB_GCA_022842645.1:subspecies;496786:s__UBA10103 sp022842645:species;278699:g__UBA10103:genus;278698:f__UBA2100:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
496786	"s__UBA10103 sp022842645"	1	1.0	0.69	0	0.0	32.0	0.9688	0.5	0.469	4	0.0	1	0.0	0.0	"496786:s__UBA10103 sp022842645:species;278699:g__UBA10103:genus;278698:f__UBA2100:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
484330	"GB_GCA_013298525.1"	1	1.0	3.17	0	0	43.0	0.9535	0.372	0.372	15	0.0	1	0.0	0.0	"484330:GB_GCA_013298525.1:subspecies;484329:s__Flavobacterium sp013298525:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
484329	"s__Flavobacterium sp013298525"	1	1.0	3.17	0	0	43.0	0.9535	0.372	0.372	15	0.0	1	0.0	0.0	"484329:s__Flavobacterium sp013298525:species;190478:g__Flavobacterium:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
404935	"GB_GCA_024654145.1"	1	1.0	0.92	0	0.0	32.0	0.9688	0.406	0.375	4	0.0	1	0.0	0.0	"404935:GB_GCA_024654145.1:subspecies;404934:s__UBA5004 sp024654145:species;317592:g__UBA5004:genus;274332:f__Zambryskibacteraceae:family;258297:o__UBA9983_A:order;249844:c__Paceibacteria:class;249843:p__Patescibacteria:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
