TaxNodeID	TaxName	TotalReads	Duplicity	MeanDust	Damage+1	Damage-1	MeanLength	ANI	AvgReadGC	AvgRefGC	UniqueKmers	RatioDupKmers	TotalAlignments	PMDsover2	PMDSover4	taxpath
319492	"s__Methylophilus sp001424665"	2	1.0	1.72	0	0.0	44.0	0.9668	0.493	0.5	32	0.0	2	0.5	0.0	"319492:s__Methylophilus sp001424665:species;299768:g__Methylophilus:genus;238735:f__Methylophilaceae:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
398521	"GB_GCA_919902775.1"	2	1.0	1.3	0.0	0.0	47.0	0.9574	0.522	0.564	38	0.0	2	0.5	0.0	"398521:GB_GCA_919902775.1:subspecies;398520:s__Limnohabitans_A sp919902775:species;248965:g__Limnohabitans_A:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
398520	"s__Limnohabitans_A sp919902775"	2	1.0	1.3	0.0	0.0	47.0	0.9574	0.522	0.564	38	0.0	2	0.5	0.0	"398520:s__Limnohabitans_A sp919902775:species;248965:g__Limnohabitans_A:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
334796	"g__Thermosulfurimonas_A"	2	1.0	1.48	0.0	0	38.0	0.9616	0.471	0.5	20	0.0	2	0.0	0.0	"334796:g__Thermosulfurimonas_A:genus;277973:f__Thermodesulfobacteriaceae:family;277972:o__Thermodesulfobacteriales:order;277971:c__Thermodesulfobacteria:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
277973	"f__Thermodesulfobacteriaceae"	2	1.0	1.48	0.0	0	38.0	0.9616	0.471	0.5	20	0.0	2	0.0	0.0	"277973:f__Thermodesulfobacteriaceae:family;277972:o__Thermodesulfobacteriales:order;277971:c__Thermodesulfobacteria:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
277972	"o__Thermodesulfobacteriales"	2	1.0	1.48	0.0	0	38.0	0.9616	0.471	0.5	20	0.0	2	0.0	0.0	"277972:o__Thermodesulfobacteriales:order;277971:c__Thermodesulfobacteria:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
277971	"c__Thermodesulfobacteria"	2	1.0	1.48	0.0	0	38.0	0.9616	0.471	0.5	20	0.0	2	0.0	0.0	"277971:c__Thermodesulfobacteria:class;238248:p__Desulfobacterota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
333533	"GB_GCA_001464865.1"	2	1.0	2.1	0.0	0	43.0	0.9659	0.453	0.512	30	0.0	2	0.5	0.0	"333533:GB_GCA_001464865.1:subspecies;333531:s__Acidovorax sp001464865:species;258853:g__Acidovorax:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
333531	"s__Acidovorax sp001464865"	2	1.0	2.1	0.0	0	43.0	0.9659	0.453	0.512	30	0.0	2	0.5	0.0	"333531:s__Acidovorax sp001464865:species;258853:g__Acidovorax:genus;233990:f__Burkholderiaceae_B:family;137197:o__Burkholderiales:order;14526:c__Gammaproteobacteria:class;14525:p__Pseudomonadota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
449258	"RS_GCF_000243235.1"	2	1.0	2.85	0.0	0	60.0	0.975	0.375	0.367	64	0.0	2	0.5	0.0	"449258:RS_GCF_000243235.1:subspecies;449257:s__Gillisia limnaea:species;369265:g__Gillisia:genus;190477:f__Flavobacteriaceae:family;190476:o__Flavobacteriales:order;173791:c__Bacteroidia:class;173790:p__Bacteroidota:phylum;14524:d__Bacteria:superkingdom;1:root:no rank"
